date,bike_rides_daily,temp,month,season,start_station_name,value,rideable_type,ride_duration
2022-08-01,275.0,23.1,8,summer,Frost St & Debevoise Ave,1,classic_bike,6
2022-08-02,375.0,26.4,8,summer,E 14 St & Avenue B,1,electric_bike,2
2022-08-03,343.0,27.6,8,summer,W 26 St & 10 Ave,1,classic_bike,35
2022-08-04,348.0,29.1,8,summer,Grand Concourse & E 166 St,1,electric_bike,2
2022-08-05,335.0,29.3,8,summer,Nostrand Ave & Myrtle Ave,1,classic_bike,7
2022-08-06,339.0,29.6,8,summer,Central Park West & W 76 St,1,classic_bike,27
2022-08-07,278.0,29.6,8,summer,West Broadway & Watts St,1,classic_bike,15
2022-08-08,267.0,30.3,8,summer,W 50 St & 9 Ave,1,electric_bike,45
2022-08-09,331.0,31.3,8,summer,Crescent St & 30 Ave,1,classic_bike,8
2022-08-10,322.0,27.2,8,summer,Allen St & Stanton St,1,classic_bike,2
2022-08-11,310.0,26.6,8,summer,Stagg St & Morgan Ave,1,electric_bike,12
2022-08-12,373.0,25.6,8,summer,Market St & Henry St,1,classic_bike,36
2022-08-13,330.0,23.1,8,summer,Prospect Park SW & 10 Ave,1,electric_bike,10
2022-08-14,330.0,24.0,8,summer,8 Ave & W 33 St,1,classic_bike,3
2022-08-15,316.0,24.3,8,summer,Broadway & 12 St,1,classic_bike,35
2022-08-16,322.0,23.6,8,summer,W 43 St & 10 Ave,1,electric_bike,30
2022-08-17,366.0,23.6,8,summer,8 Ave & W 31 St,1,classic_bike,15
2022-08-18,331.0,24.1,8,summer,Throop Ave & Myrtle Ave,1,electric_bike,2
2022-08-19,322.0,26.3,8,summer,Butler St & Court St,1,classic_bike,5
2022-08-20,339.0,27.9,8,summer,Grand Army Plaza & Central Park S,1,electric_bike,24
2022-08-21,329.0,25.3,8,summer,20 Ave & 31 St,1,classic_bike,5
2022-08-22,226.0,24.5,8,summer,11 Ave & Prospect Ave,1,classic_bike,3
2022-08-23,342.0,25.9,8,summer,Spring St & Hudson St,1,electric_bike,20
2022-08-24,329.0,26.9,8,summer,Broadway & W 220 St,1,classic_bike,65
2022-08-25,358.0,28.1,8,summer,10 Ave & W 14 St,1,classic_bike,10
2022-08-26,304.0,27.4,8,summer,E 91 St & 2 Ave,1,classic_bike,17
2022-08-27,304.0,27.8,8,summer,Van Brunt St & Van Dyke St,1,electric_bike,38
2022-08-28,308.0,24.6,8,summer,1 Ave & E 68 St,1,classic_bike,3
2022-08-29,294.0,26.0,8,summer,E 51 St & Lexington Ave,1,classic_bike,21
2022-08-30,334.0,26.8,8,summer,Vernon Blvd & 50 Ave,1,classic_bike,4
2022-08-31,353.0,25.6,8,summer,6 Ave & W 45 St,1,classic_bike,9
2022-09-01,362.0,25.9,9,summer,W 34 St &\tHudson Blvd E,1,classic_bike,8
2022-09-02,325.0,21.7,9,summer,E 26 St & 3 Ave,1,classic_bike,12
2022-09-03,294.0,22.8,9,summer,E 4 St & Ave B,1,classic_bike,9
2022-09-04,327.0,25.3,9,summer,Kent Ave & N 7 St,1,electric_bike,13
2022-09-05,260.0,25.8,9,summer,E 161 St & River Ave,1,electric_bike,16
2022-09-06,122.0,23.3,9,summer,E 6 St & Avenue B,1,electric_bike,14
2022-09-07,327.0,20.8,9,summer,E 9 St & 5 Ave,1,classic_bike,19
2022-09-08,393.0,21.8,9,summer,Little West St & 1 Pl,1,classic_bike,23
2022-09-09,387.0,21.9,9,summer,Duane St & Hudson St,1,classic_bike,9
2022-09-10,401.0,23.6,9,summer,48 St & Broadway,1,classic_bike,8
2022-09-11,185.0,23.2,9,summer,W 27 St & 7 Ave,1,classic_bike,4
2022-09-12,320.0,22.4,9,summer,Central Park W & W 97 St,1,classic_bike,10
2022-09-13,348.0,24.7,9,summer,48 St & Broadway,1,classic_bike,8
2022-09-14,402.0,22.9,9,summer,Willoughby Ave & Myrtle Ave,1,electric_bike,11
2022-09-15,426.0,21.8,9,summer,31 St & Newtown Ave,1,classic_bike,20
2022-09-16,383.0,19.6,9,summer,Bedford Ave & Bergen St,1,classic_bike,50
2022-09-17,374.0,20.8,9,summer,W 47 St & 6 Ave,1,classic_bike,45
2022-09-18,322.0,23.4,9,summer,5 Ave & E 72 St,1,electric_bike,83
2022-09-19,278.0,25.6,9,summer,36 Ave & 31 St,1,classic_bike,11
2022-09-20,353.0,23.2,9,summer,2 Ave & E 72 St,1,classic_bike,3
2022-09-21,397.0,22.0,9,summer,Washington St & Laight St,1,classic_bike,13
2022-09-22,277.0,21.8,9,summer,Lafayette St & E 8 St,1,electric_bike,8
2022-09-23,330.0,15.1,9,summer,Vesey St & Church St,1,classic_bike,11
2022-09-24,330.0,14.5,9,summer,E 33 St & 5 Ave,1,electric_bike,6
2022-09-25,253.0,19.2,9,summer,Suydam St & Broadway,1,classic_bike,14
2022-09-26,306.0,19.4,9,summer,Berry St & N 8 St,1,electric_bike,6
2022-09-27,304.0,19.7,9,summer,E 97 St & 3 Ave,1,classic_bike,23
2022-09-28,391.0,17.2,9,summer,6 Ave & W 45 St,1,classic_bike,11
2022-09-29,353.0,16.6,9,summer,Central Park West & W 72 St,1,electric_bike,22
2022-09-30,334.0,14.5,9,summer,6 Ave & W 34 St,1,electric_bike,7
2022-10-01,188.0,14.8,10,fall,West Broadway & Watts St,1,electric_bike,5
2022-10-02,185.0,15.2,10,fall,55 St & 5 Ave,1,electric_bike,7
2022-10-03,163.0,11.5,10,fall,W 116 St & Amsterdam Ave,1,electric_bike,7
2022-10-04,160.0,10.3,10,fall,W 20 St & 8 Ave,1,electric_bike,8
2022-10-05,225.0,13.8,10,fall,E 22 St & 2 Ave,1,electric_bike,4
2022-10-06,431.0,17.6,10,fall,Lexington Ave & E 26 St,1,classic_bike,6
2022-10-07,434.0,20.3,10,fall,E 97 St & Madison Ave,1,electric_bike,23
2022-10-08,354.0,13.9,10,fall,Broadway & W 58 St,1,classic_bike,11
2022-10-09,292.0,12.3,10,fall,W 13 St & 7 Ave,1,electric_bike,10
2022-10-10,361.0,15.8,10,fall,W 20 St & 8 Ave,1,electric_bike,35
2022-10-11,366.0,17.0,10,fall,Central Ave & Flushing Ave,1,classic_bike,2
2022-10-12,372.0,17.9,10,fall,Henry St & Grand St,1,classic_bike,83
2022-10-13,273.0,18.7,10,fall,Division St & Bowery,1,classic_bike,5
2022-10-14,388.0,15.7,10,fall,Frederick Douglass Blvd & W 139 St,1,classic_bike,5
2022-10-15,408.0,16.2,10,fall,E 47 St & Park Ave,1,classic_bike,24
2022-10-16,379.0,16.1,10,fall,1 Ave & E 39 St,1,electric_bike,10
2022-10-17,288.0,16.6,10,fall,E 85 St & 3 Ave,1,classic_bike,10
2022-10-18,350.0,12.6,10,fall,E 75 St & 3 Ave,1,electric_bike,44
2022-10-19,325.0,10.0,10,fall,Central Park North & Adam Clayton Powell Blvd,1,electric_bike,4
2022-10-20,367.0,11.1,10,fall,W 27 St & 7 Ave,1,classic_bike,7
2022-10-21,377.0,13.4,10,fall,Myrtle Ave & Fleet Pl,1,classic_bike,7
2022-10-22,348.0,14.4,10,fall,W 52 St & 6 Ave,1,electric_bike,13
2022-10-23,198.0,14.7,10,fall,W 47 St & 9 Ave,1,electric_bike,21
2022-10-24,226.0,14.1,10,fall,Lexington Ave & E 26 St,1,electric_bike,17
2022-10-25,339.0,16.9,10,fall,Columbia Heights & Cranberry St,1,electric_bike,5
2022-10-26,359.0,18.3,10,fall,11 Ave & W 41 St,1,classic_bike,11
2022-10-27,388.0,16.9,10,fall,E 51 St & 2 Ave,1,classic_bike,12
2022-10-28,389.0,11.3,10,fall,Sigourney St & Columbia St,1,classic_bike,13
2022-10-29,383.0,10.8,10,fall,Carroll St & 5 Ave,1,classic_bike,3
2022-10-30,330.0,12.5,10,fall,Allen St & Stanton St,1,classic_bike,11
2022-10-31,341.0,14.4,10,fall,E 118 St & 3 Ave,1,electric_bike,11
2022-11-01,442.0,16.9,11,fall,Lafayette Ave & Classon Ave,1,electric_bike,18
2022-11-02,495.0,17.6,11,fall,Willis Ave & E 143 St,1,electric_bike,21
2022-11-03,529.0,15.7,11,fall,Metropolitan Ave & Bedford Ave,1,electric_bike,21
2022-11-04,456.0,15.2,11,fall,E 20 St & 2 Ave,1,classic_bike,3
2022-11-05,564.0,19.4,11,fall,E 20 St & 2 Ave,1,classic_bike,4
2022-11-06,405.0,19.8,11,fall,Berry St & N 8 St,1,electric_bike,16
2022-11-07,402.0,21.3,11,fall,E 23 St & 1 Ave,1,electric_bike,7
2022-11-08,422.0,13.2,11,fall,E 20 St & 2 Ave,1,classic_bike,4
2022-11-09,376.0,8.7,11,fall,Murray St & Greenwich St,1,electric_bike,23
2022-11-10,455.0,12.6,11,fall,E 41 St & Madison Ave (SE corner),1,classic_bike,4
2022-11-11,228.0,16.4,11,fall,Hicks St & Montague St,1,classic_bike,2
2022-11-12,472.0,19.7,11,fall,5 Ave & E 72 St,1,classic_bike,8
2022-11-13,285.0,12.9,11,fall,West St & Liberty St,1,classic_bike,56
2022-11-14,299.0,6.3,11,fall,W 48 St &  Rockefeller Plaza,1,classic_bike,21
2022-11-15,252.0,4.9,11,fall,E 2 St & Avenue A,1,electric_bike,4
2022-11-16,324.0,7.3,11,fall,Liberty St & Broadway,1,classic_bike,6
2022-11-17,325.0,5.7,11,fall,E 20 St & 2 Ave,1,classic_bike,4
